time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.007,55,55,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.014,4020,440,3580,432,8,0,0,0,0,0,0,3568,12,0,0,0,0,0,0
3.021,5635,641,4994,630,11,0,0,0,0,0,0,4976,18,0,0,0,0,0,0
4.028,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
5.035,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
6.042,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
7.049,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
8.056,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
9.063,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
10.070,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
11.076,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
12.082,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
13.089,8520,751,7769,738,13,0,0,0,0,0,0,7746,23,0,0,0,0,0,0
14.096,8606,794,7812,780,14,0,0,0,0,0,0,7788,24,0,0,0,0,0,0
15.103,8606,794,7812,780,14,0,0,0,0,0,0,7788,24,0,0,0,0,0,0
16.110,8606,794,7812,780,14,0,0,0,0,0,0,7788,24,0,0,0,0,0,0
17.116,8692,837,7855,822,15,0,0,0,0,0,0,7830,25,0,0,0,0,0,0
18.122,8692,837,7855,822,15,0,0,0,0,0,0,7830,25,0,0,0,0,0,0
19.129,8692,837,7855,822,15,0,0,0,0,0,0,7830,25,0,0,0,0,0,0
20.136,93831,80863,12968,80818,45,0,0,0,0,0,0,12914,54,0,0,0,0,0,0
21.143,42716148,42654076,62072,42649248,4828,0,0,0,0,0,0,61691,381,0,0,0,0,0,0
22.150,42716148,42654076,62072,42649248,4828,0,0,0,0,0,0,61691,381,0,0,0,0,0,0
23.158,42716148,42654076,62072,42649248,4828,0,0,0,0,0,0,61691,381,0,0,0,0,0,0
24.165,42897760,42736310,161450,42731417,4893,0,0,0,0,0,0,160986,464,0,0,0,0,0,0
25.172,42897760,42736310,161450,42731417,4893,0,0,0,0,0,0,160986,464,0,0,0,0,0,0
26.179,42897760,42736310,161450,42731417,4893,0,0,0,0,0,0,160986,464,0,0,0,0,0,0
27.186,85559722,42767202,42792520,42762221,4981,0,0,0,0,0,0,42787309,5211,0,0,0,0,0,0
28.193,85608403,42769360,42839043,42764348,5012,0,0,0,0,0,0,42833745,5298,0,0,0,0,0,0
29.200,85608403,42769360,42839043,42764348,5012,0,0,0,0,0,0,42833745,5298,0,0,0,0,0,0
30.207,231183129,145811489,85371640,145794956,16533,0,0,0,0,0,0,85361316,10324,0,0,0,0,0,0
31.214,232346006,146259623,86086383,146242922,16701,0,0,0,0,0,0,86075896,10487,0,0,0,0,0,0
32.221,232352257,146261456,86090801,146244737,16719,0,0,0,0,0,0,86080289,10512,0,0,0,0,0,0
33.229,232352257,146261456,86090801,146244737,16719,0,0,0,0,0,0,86080289,10512,0,0,0,0,0,0
34.236,232352257,146261456,86090801,146244737,16719,0,0,0,0,0,0,86080289,10512,0,0,0,0,0,0
35.243,232352257,146261456,86090801,146244737,16719,0,0,0,0,0,0,86080289,10512,0,0,0,0,0,0
36.250,232352257,146261456,86090801,146244737,16719,0,0,0,0,0,0,86080289,10512,0,0,0,0,0,0
37.257,232569141,146477769,86091372,146461023,16746,0,0,0,0,0,0,86080853,10519,0,0,0,0,0,0
