time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.662,1018,110,908,108,2,0,0,0,0,0,0,904,4,0,0,0,0,0,0
1.869,1751,165,1586,162,3,0,0,0,0,0,0,1580,6,0,0,0,0,0,0
2.075,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
2.281,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
2.487,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
2.694,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
2.900,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
3.106,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
3.312,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
3.518,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
3.724,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
3.929,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
4.135,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
4.341,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
4.547,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
4.753,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
4.959,4451,330,4121,324,6,0,0,0,0,0,0,4110,11,0,0,0,0,0,0
5.165,9468,2926,6542,2901,25,0,0,0,0,0,0,6512,30,0,0,0,0,0,0
5.371,9468,2926,6542,2901,25,0,0,0,0,0,0,6512,30,0,0,0,0,0,0
5.578,160164,128606,31558,128520,86,0,0,0,0,0,0,31490,68,0,0,0,0,0,0
5.784,42603374,42558743,44631,42553933,4810,0,0,0,0,0,0,44376,255,0,0,0,0,0,0
5.991,42710256,42659032,51224,42654147,4885,0,0,0,0,0,0,50939,285,0,0,0,0,0,0
6.197,42710256,42659032,51224,42654147,4885,0,0,0,0,0,0,50939,285,0,0,0,0,0,0
