time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.007,636,110,526,108,2,0,0,0,0,0,0,524,2,0,0,0,0,0,0
2.017,3945,275,3670,270,5,0,0,0,0,0,0,3660,10,0,0,0,0,0,0
3.024,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
4.032,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
5.039,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
6.046,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
7.053,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
8.061,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
9.068,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
10.075,5473,495,4978,486,9,0,0,0,0,0,0,4964,14,0,0,0,0,0,0
11.081,6118,550,5568,540,10,0,0,0,0,0,0,5552,16,0,0,0,0,0,0
12.089,6118,550,5568,540,10,0,0,0,0,0,0,5552,16,0,0,0,0,0,0
13.096,128827,27753,101074,27707,46,0,0,0,0,0,0,101009,65,0,0,0,0,0,0
14.103,230230,116424,113806,116335,89,0,0,0,0,0,0,113699,107,0,0,0,0,0,0
15.110,42850156,42694659,155497,42689726,4933,0,0,0,0,0,0,155176,321,0,0,0,0,0,0
16.117,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
17.124,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
18.131,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
19.139,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
20.146,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
21.153,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
22.160,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
23.168,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
24.175,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
25.182,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
26.189,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
27.197,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
28.204,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
29.212,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
30.219,85452195,42782612,42669583,42777459,5153,0,0,0,0,0,0,42664502,5081,0,0,0,0,0,0
31.226,85452281,42782655,42669626,42777501,5154,0,0,0,0,0,0,42664544,5082,0,0,0,0,0,0
32.233,85452281,42782655,42669626,42777501,5154,0,0,0,0,0,0,42664544,5082,0,0,0,0,0,0
33.240,85452281,42782655,42669626,42777501,5154,0,0,0,0,0,0,42664544,5082,0,0,0,0,0,0
34.248,85452281,42782655,42669626,42777501,5154,0,0,0,0,0,0,42664544,5082,0,0,0,0,0,0
35.255,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
36.262,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
37.269,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
38.276,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
39.284,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
40.291,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
41.297,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
42.304,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
43.312,85452367,42782698,42669669,42777543,5155,0,0,0,0,0,0,42664586,5083,0,0,0,0,0,0
44.319,85575817,42811067,42764750,42805850,5217,0,0,0,0,0,0,42759617,5133,0,0,0,0,0,0
45.326,231330195,145862962,85467233,145846097,16865,0,0,0,0,0,0,85456901,10332,0,0,0,0,0,0
46.333,231822606,146090578,85732028,146073337,17241,0,0,0,0,0,0,85721489,10539,0,0,0,0,0,0
47.341,231822606,146090578,85732028,146073337,17241,0,0,0,0,0,0,85721489,10539,0,0,0,0,0,0
48.348,231822606,146090578,85732028,146073337,17241,0,0,0,0,0,0,85721489,10539,0,0,0,0,0,0
49.355,231822606,146090578,85732028,146073337,17241,0,0,0,0,0,0,85721489,10539,0,0,0,0,0,0
50.362,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
51.369,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
52.377,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
53.384,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
54.391,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
55.399,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
56.406,232044136,146311658,85732478,146294389,17269,0,0,0,0,0,0,85721934,10544,0,0,0,0,0,0
57.413,232266593,146312120,85954473,146294845,17275,0,0,0,0,0,0,85943902,10571,0,0,0,0,0,0
58.420,232374706,146367229,86007477,146349792,17437,0,0,0,0,0,0,85996751,10726,0,0,0,0,0,0
59.427,232374706,146367229,86007477,146349792,17437,0,0,0,0,0,0,85996751,10726,0,0,0,0,0,0
60.435,232374706,146367229,86007477,146349792,17437,0,0,0,0,0,0,85996751,10726,0,0,0,0,0,0
61.442,232374706,146367229,86007477,146349792,17437,0,0,0,0,0,0,85996751,10726,0,0,0,0,0,0
