time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.015,3002,330,2672,324,6,0,0,0,0,0,0,2664,8,0,0,0,0,0,0
3.023,5041,495,4546,486,9,0,0,0,0,0,0,4532,14,0,0,0,0,0,0
4.030,7926,605,7321,594,11,0,0,0,0,0,0,7302,19,0,0,0,0,0,0
5.037,7926,605,7321,594,11,0,0,0,0,0,0,7302,19,0,0,0,0,0,0
6.044,7926,605,7321,594,11,0,0,0,0,0,0,7302,19,0,0,0,0,0,0
7.051,7926,605,7321,594,11,0,0,0,0,0,0,7302,19,0,0,0,0,0,0
8.059,7926,605,7321,594,11,0,0,0,0,0,0,7302,19,0,0,0,0,0,0
9.065,8012,648,7364,636,12,0,0,0,0,0,0,7344,20,0,0,0,0,0,0
10.073,8012,648,7364,636,12,0,0,0,0,0,0,7344,20,0,0,0,0,0,0
11.079,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
12.086,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
13.093,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
14.099,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
15.106,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
16.113,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
17.120,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
18.126,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
19.133,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
20.139,8098,691,7407,678,13,0,0,0,0,0,0,7386,21,0,0,0,0,0,0
21.146,8751,746,8005,732,14,0,0,0,0,0,0,7982,23,0,0,0,0,0,0
22.153,8751,746,8005,732,14,0,0,0,0,0,0,7982,23,0,0,0,0,0,0
23.160,8751,746,8005,732,14,0,0,0,0,0,0,7982,23,0,0,0,0,0,0
24.167,8751,746,8005,732,14,0,0,0,0,0,0,7982,23,0,0,0,0,0,0
25.174,134607,29974,104633,29915,59,0,0,0,0,0,0,104549,84,0,0,0,0,0,0
26.181,134607,29974,104633,29915,59,0,0,0,0,0,0,104549,84,0,0,0,0,0,0
27.188,134607,29974,104633,29915,59,0,0,0,0,0,0,104549,84,0,0,0,0,0,0
28.194,257720,32919,224801,32846,73,0,0,0,0,0,0,224690,111,0,0,0,0,0,0
29.200,304407,34742,269665,34643,99,0,0,0,0,0,0,269488,177,0,0,0,0,0,0
30.208,304407,34742,269665,34643,99,0,0,0,0,0,0,269488,177,0,0,0,0,0,0
31.214,145884012,103081495,42802517,103069804,11691,0,0,0,0,0,0,42797301,5216,0,0,0,0,0,0
32.221,145890702,103084266,42806436,103072553,11713,0,0,0,0,0,0,42801201,5235,0,0,0,0,0,0
33.228,188598161,145736066,42862095,145719543,16523,0,0,0,0,0,0,42856437,5658,0,0,0,0,0,0
34.234,188598161,145736066,42862095,145719543,16523,0,0,0,0,0,0,42856437,5658,0,0,0,0,0,0
35.240,188598161,145736066,42862095,145719543,16523,0,0,0,0,0,0,42856437,5658,0,0,0,0,0,0
36.247,188652728,145788716,42864012,145772180,16536,0,0,0,0,0,0,42858345,5667,0,0,0,0,0,0
37.253,188652728,145788716,42864012,145772180,16536,0,0,0,0,0,0,42858345,5667,0,0,0,0,0,0
38.259,188652728,145788716,42864012,145772180,16536,0,0,0,0,0,0,42858345,5667,0,0,0,0,0,0
39.266,231195334,145818753,85376581,145802116,16637,0,0,0,0,0,0,85366179,10402,0,0,0,0,0,0
40.273,232362862,146265195,86097667,146248411,16784,0,0,0,0,0,0,86087017,10650,0,0,0,0,0,0
41.280,232365899,146265986,86099913,146249194,16792,0,0,0,0,0,0,86089252,10661,0,0,0,0,0,0
42.288,232365899,146265986,86099913,146249194,16792,0,0,0,0,0,0,86089252,10661,0,0,0,0,0,0
43.295,232365899,146265986,86099913,146249194,16792,0,0,0,0,0,0,86089252,10661,0,0,0,0,0,0
44.302,232365899,146265986,86099913,146249194,16792,0,0,0,0,0,0,86089252,10661,0,0,0,0,0,0
45.309,232365899,146265986,86099913,146249194,16792,0,0,0,0,0,0,86089252,10661,0,0,0,0,0,0
46.316,232582742,146482258,86100484,146465439,16819,0,0,0,0,0,0,86089816,10668,0,0,0,0,0,0
47.323,232889540,146526900,86362640,146510042,16858,0,0,0,0,0,0,86351912,10728,0,0,0,0,0,0
48.330,232889540,146526900,86362640,146510042,16858,0,0,0,0,0,0,86351912,10728,0,0,0,0,0,0
49.337,232889540,146526900,86362640,146510042,16858,0,0,0,0,0,0,86351912,10728,0,0,0,0,0,0
50.346,350599938,198871280,151728658,198848132,23148,0,0,0,0,0,0,151710483,18175,0,0,0,0,0,0
51.353,439170762,249678257,189492505,249648966,29291,0,0,0,0,0,0,189469674,22831,0,0,0,0,0,0
52.363,934896480,495444069,439452411,495385837,58232,0,0,0,0,0,0,439400551,51860,0,0,0,0,0,0
53.369,1470461328,765366420,705094908,765275930,90490,0,0,0,0,0,0,705012117,82791,0,0,0,0,0,0
54.376,1882993736,971652907,911340829,971537780,115127,0,0,0,0,0,0,911233982,106847,0,0,0,0,0,0
55.384,2298354284,1178751004,1119603280,1178611426,139578,0,0,0,0,0,0,1119472323,130957,0,0,0,0,0,0
