time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
0.000000,0,0,0,0,0,0
0.007270,0,0,0,0,0,0
0.014055,0,0,0,0,0,0
0.021241,0,0,0,0,0,0
0.028733,0,0,0,0,0,0
0.035627,0,0,0,0,0,0
0.042497,0,0,0,0,0,0
0.048640,0,0,0,0,0,0
0.054537,0,0,0,0,0,0
0.061114,0,0,0,0,0,0
0.068843,0,0,0,0,0,0
0.094210,0,0,0,0,0,0
0.102282,0,0,0,0,0,0
0.113540,0,0,0,0,0,0
0.121260,0,0,0,0,0,0
0.128561,0,0,0,0,0,0
0.133992,0,0,0,0,0,0
0.141443,0,0,0,0,0,0
0.168947,0,0,0,0,0,0
0.181026,0,0,0,0,0,0
0.202978,0,0,0,0,0,0
0.222222,0,0,0,0,0,0
0.248085,0,0,0,0,0,0
0.272094,0,0,0,0,0,0
0.291085,0,0,0,0,0,0
0.298151,0,0,0,0,0,0
0.326229,0,0,0,0,0,0
0.350788,0,0,0,0,0,0
0.373430,0,0,0,0,0,0
0.385078,0,0,0,0,0,0
0.393614,0,0,0,0,0,0
0.423693,0,0,0,0,0,0
0.444921,0,0,0,0,0,0
0.460054,0,0,0,0,0,0
0.483607,0,0,0,0,0,0
0.508415,0,0,0,0,0,0
0.529508,0,0,0,0,0,0
0.542555,0,0,0,0,0,0
0.558711,0,0,0,0,0,0
0.593289,0,0,0,0,0,0
0.618363,0,0,0,0,0,0
0.633110,0,0,0,0,0,0
0.641155,0,0,0,0,0,0
0.658889,0,0,0,0,0,0
0.692418,0,0,0,0,0,0
0.716247,0,0,0,0,0,0
0.725161,0,0,0,0,0,0
0.735926,0,0,0,0,0,0
0.743588,0,0,0,0,0,0
0.757730,0,0,0,0,0,0
0.764798,0,0,0,0,0,0
0.772934,0,0,0,0,0,0
0.780058,0,0,0,0,0,0
0.788635,0,0,0,0,0,0
0.797410,0,0,0,0,0,0
0.812190,0,0,0,0,0,0
0.823218,0,0,0,0,0,0
0.835488,0,0,0,0,0,0
0.845974,0,0,0,0,0,0
0.857692,0,0,0,0,0,0
0.868818,0,0,0,0,0,0
0.879657,0,0,0,0,0,0
0.892095,0,0,0,0,0,0
0.901902,0,0,0,0,0,0
0.915120,0,0,0,0,0,0
0.927318,0,0,0,0,0,0
0.938478,0,0,0,0,0,0
0.950652,0,0,0,0,0,0
0.960511,0,0,0,0,0,0
0.972137,0,0,0,0,0,0
0.983746,0,0,0,0,0,0
0.994203,0,0,0,0,0,0
1.005469,0,0,0,0,0,0
1.015907,0,0,0,0,0,0
1.026623,0,0,0,0,0,0
1.038840,0,0,0,0,0,0
1.045343,0,0,0,0,0,0
1.050222,0,0,0,0,0,0
1.069928,0,0,0,0,0,0
1.076723,0,0,0,0,0,0
1.080895,0,0,0,0,0,0
1.084330,0,0,0,0,0,0
1.087788,0,0,0,0,0,0
1.092472,0,0,0,0,0,0
1.096194,0,0,0,0,0,0
1.099478,0,0,0,0,0,0
1.102726,0,0,0,0,0,0
1.106061,0,0,0,0,0,0
1.109667,0,0,0,0,0,0
1.115247,0,0,0,0,0,0
1.122748,0,0,0,0,0,0
1.132292,0,0,0,0,0,0
1.145631,0,0,0,0,0,0
1.157428,0,0,0,0,0,0
1.170566,0,0,0,0,0,0
1.183164,0,0,0,0,0,0
1.192667,0,0,0,0,0,0
1.203827,0,0,0,0,0,0
1.217570,0,0,0,0,0,0
1.228142,0,0,0,0,0,0
1.239802,0,0,0,0,0,0
1.251745,0,0,0,0,0,0
1.261277,0,0,0,0,0,0
1.273839,0,0,0,0,0,0
1.283585,0,0,0,0,0,0
1.295262,0,0,0,0,0,0
1.306157,0,0,0,0,0,0
1.315725,0,0,0,0,0,0
1.326518,0,0,0,0,0,0
1.336872,0,0,0,0,0,0
1.347067,0,0,0,0,0,0
1.358501,0,0,0,0,0,0
1.364533,0,0,0,0,0,0
1.368503,0,0,0,0,0,0
1.373131,0,0,0,0,0,0
1.391100,0,0,0,0,0,0
1.397668,0,0,0,0,0,0
1.403674,0,0,0,0,0,0
1.407306,0,0,0,0,0,0
1.413033,0,0,0,0,0,0
1.417664,0,0,0,0,0,0
1.421290,0,0,0,0,0,0
1.424841,0,0,0,0,0,0
1.428354,0,0,0,0,0,0
1.432754,0,0,0,0,0,0
1.438669,0,0,0,0,0,0
