time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
0.000000,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.003082,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.006101,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.009119,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.012049,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.014989,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.017920,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.022124,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.024980,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.027842,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.030697,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.033467,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.036230,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.039041,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.043087,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.045773,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.048490,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.051195,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.053871,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.056546,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.059224,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.063128,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.065738,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.068359,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.070946,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.073501,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.076062,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.078678,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.082344,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.084729,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.087124,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.089507,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.091904,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.094284,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.096668,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.099064,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.102730,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.105127,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.107523,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.109912,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.112306,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.114692,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.117064,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.119478,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.121860,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.124272,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.126665,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.129025,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.131414,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.133799,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.136180,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.138563,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.140954,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.143374,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.145752,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.148132,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.150532,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.152912,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.155296,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.157670,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.160088,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.162486,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.164867,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.167263,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.169649,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.172040,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.174415,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.176785,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.179191,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.181572,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.183980,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.186362,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.188732,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.191133,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.193514,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.195893,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.198265,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.200677,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.203092,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.205468,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.207859,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.210242,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.212635,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.215024,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.217395,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.219799,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.222187,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.224599,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.226998,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.229371,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.231766,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.234144,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.236527,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.238925,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.241320,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.244475,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.248144,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.251785,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.255429,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.259053,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.262498,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.266376,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.269989,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.273617,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.277228,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.280782,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.284263,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.287709,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.291150,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.294600,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.297906,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.301218,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.304545,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.308933,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.312123,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.315308,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.318461,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.321634,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.324769,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.328791,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.332212,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.335305,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.338262,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.341244,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.344247,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.348090,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.350981,42949672960,85899345920,0,42949672960,42949672960,42949672960
0.353858,42949672960,85899345920,0,42949672960,42949672960,42949672960
