time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
0.000000,0,0,0,0,0,0
0.004423,0,0,0,0,0,0
0.008581,0,0,0,0,0,0
0.011593,0,0,0,0,0,0
0.014551,0,0,0,0,0,0
0.017502,0,0,0,0,0,0
0.020492,0,0,0,0,0,0
0.026036,0,0,0,0,0,0
0.030042,0,0,0,0,0,0
0.032974,0,0,0,0,0,0
0.035851,0,0,0,0,0,0
0.038721,0,0,0,0,0,0
0.041585,0,0,0,0,0,0
0.047167,0,0,0,0,0,0
0.051039,0,0,0,0,0,0
0.053821,0,0,0,0,0,0
0.056612,0,0,0,0,0,0
0.059417,0,0,0,0,0,0
0.062205,0,0,0,0,0,0
0.068754,0,0,0,0,0,0
0.071543,0,0,0,0,0,0
0.074258,0,0,0,0,0,0
0.076982,0,0,0,0,0,0
0.079707,0,0,0,0,0,0
0.082434,0,0,0,0,0,0
0.089054,0,0,0,0,0,0
0.091781,0,0,0,0,0,0
0.094440,0,0,0,0,0,0
0.097088,0,0,0,0,0,0
0.099845,0,0,0,0,0,0
0.102512,0,0,0,0,0,0
0.107947,0,0,0,0,0,0
0.110538,0,0,0,0,0,0
0.113133,0,0,0,0,0,0
0.115926,0,0,0,0,0,0
0.118519,0,0,0,0,0,0
0.121108,0,0,0,0,0,0
0.123747,0,0,0,0,0,0
0.127556,0,0,0,0,0,0
0.130097,0,0,0,0,0,0
0.132653,0,0,0,0,0,0
0.135199,0,0,0,0,0,0
0.137569,0,0,0,0,0,0
0.139951,0,0,0,0,0,0
0.142337,0,0,0,0,0,0
0.147773,0,0,0,0,0,0
0.150151,0,0,0,0,0,0
0.154242,0,0,0,0,0,0
0.157970,0,0,0,0,0,0
0.161590,0,0,0,0,0,0
0.167886,0,0,0,0,0,0
0.171508,0,0,0,0,0,0
0.175109,0,0,0,0,0,0
0.178716,0,0,0,0,0,0
0.182297,0,0,0,0,0,0
0.189028,0,0,0,0,0,0
0.191591,0,0,0,0,0,0
0.195042,0,0,0,0,0,0
0.198456,0,0,0,0,0,0
0.201874,0,0,0,0,0,0
0.207890,0,0,0,0,0,0
0.211073,0,0,0,0,0,0
0.214226,0,0,0,0,0,0
0.217395,0,0,0,0,0,0
0.220561,0,0,0,0,0,0
0.223842,0,0,0,0,0,0
0.228492,0,0,0,0,0,0
0.231642,0,0,0,0,0,0
0.234704,0,0,0,0,0,0
0.237743,0,0,0,0,0,0
0.240800,0,0,0,0,0,0
0.243867,0,0,0,0,0,0
0.247924,0,0,0,0,0,0
0.250896,0,0,0,0,0,0
0.253842,0,0,0,0,0,0
0.256755,0,0,0,0,0,0
0.259625,0,0,0,0,0,0
0.262486,0,0,0,0,0,0
0.265372,0,0,0,0,0,0
0.270513,0,0,0,0,0,0
0.273371,0,0,0,0,0,0
0.276218,0,0,0,0,0,0
0.279010,0,0,0,0,0,0
0.281791,0,0,0,0,0,0
0.284625,0,0,0,0,0,0
0.288634,0,0,0,0,0,0
0.292391,0,0,0,0,0,0
0.295124,0,0,0,0,0,0
0.297845,0,0,0,0,0,0
0.301373,0,0,0,0,0,0
