time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
0.000000,0,0,0,0,0,0
0.003399,0,0,0,0,0,0
0.006789,0,0,0,0,0,0
0.010220,0,0,0,0,0,0
0.013539,0,0,0,0,0,0
0.016832,0,0,0,0,0,0
0.020115,0,0,0,0,0,0
0.023322,0,0,0,0,0,0
0.026547,0,0,0,0,0,0
0.029754,0,0,0,0,0,0
0.032892,0,0,0,0,0,0
0.036009,0,0,0,0,0,0
0.039101,0,0,0,0,0,0
0.042199,0,0,0,0,0,0
0.045199,0,0,0,0,0,0
0.048221,0,0,0,0,0,0
0.051232,0,0,0,0,0,0
0.054226,0,0,0,0,0,0
0.057147,0,0,0,0,0,0
0.060089,0,0,0,0,0,0
0.062942,0,0,0,0,0,0
0.065817,0,0,0,0,0,0
0.068777,0,0,0,0,0,0
0.071613,0,0,0,0,0,0
0.074424,0,0,0,0,0,0
0.077256,0,0,0,0,0,0
0.080079,0,0,0,0,0,0
0.082895,0,0,0,0,0,0
0.085702,0,0,0,0,0,0
0.088533,0,0,0,0,0,0
0.091275,0,0,0,0,0,0
0.094041,0,0,0,0,0,0
0.096810,0,0,0,0,0,0
0.099568,0,0,0,0,0,0
0.102272,0,0,0,0,0,0
0.104955,0,0,0,0,0,0
0.107665,0,0,0,0,0,0
0.111596,0,0,0,0,0,0
0.114228,0,0,0,0,0,0
0.116865,0,0,0,0,0,0
0.119485,0,0,0,0,0,0
0.122130,0,0,0,0,0,0
0.125029,0,0,0,0,0,0
0.127670,0,0,0,0,0,0
0.131543,0,0,0,0,0,0
0.134319,0,0,0,0,0,0
0.136963,0,0,0,0,0,0
0.139605,0,0,0,0,0,0
0.142227,0,0,0,0,0,0
0.144859,0,0,0,0,0,0
0.147653,0,0,0,0,0,0
0.151525,0,0,0,0,0,0
0.154176,0,0,0,0,0,0
0.156959,0,0,0,0,0,0
0.159597,0,0,0,0,0,0
0.162358,0,0,0,0,0,0
0.164993,0,0,0,0,0,0
0.167636,0,0,0,0,0,0
0.172674,0,0,0,0,0,0
0.176307,0,0,0,0,0,0
0.179945,0,0,0,0,0,0
0.183563,0,0,0,0,0,0
0.187030,0,0,0,0,0,0
0.192008,0,0,0,0,0,0
0.195663,0,0,0,0,0,0
0.199305,0,0,0,0,0,0
0.202955,0,0,0,0,0,0
0.206480,0,0,0,0,0,0
0.209946,0,0,0,0,0,0
0.213542,0,0,0,0,0,0
0.216972,0,0,0,0,0,0
0.220278,0,0,0,0,0,0
0.223602,0,0,0,0,0,0
0.226893,0,0,0,0,0,0
0.231358,0,0,0,0,0,0
0.234960,0,0,0,0,0,0
0.238141,0,0,0,0,0,0
0.241298,0,0,0,0,0,0
0.244380,0,0,0,0,0,0
0.247456,0,0,0,0,0,0
0.251773,0,0,0,0,0,0
0.254741,0,0,0,0,0,0
0.257840,0,0,0,0,0,0
0.260822,0,0,0,0,0,0
0.263811,0,0,0,0,0,0
0.266767,0,0,0,0,0,0
0.270993,0,0,0,0,0,0
0.273971,0,0,0,0,0,0
0.276944,0,0,0,0,0,0
0.279840,0,0,0,0,0,0
0.282738,0,0,0,0,0,0
0.285622,0,0,0,0,0,0
0.288511,0,0,0,0,0,0
0.292582,0,0,0,0,0,0
0.295394,0,0,0,0,0,0
0.298195,0,0,0,0,0,0
0.300998,0,0,0,0,0,0
0.303744,0,0,0,0,0,0
0.306470,0,0,0,0,0,0
0.309224,0,0,0,0,0,0
0.311994,0,0,0,0,0,0
0.314672,0,0,0,0,0,0
0.317363,0,0,0,0,0,0
0.320053,0,0,0,0,0,0
0.322736,0,0,0,0,0,0
0.325388,0,0,0,0,0,0
0.328026,0,0,0,0,0,0
0.330784,0,0,0,0,0,0
0.333546,0,0,0,0,0,0
0.336191,0,0,0,0,0,0
0.338804,0,0,0,0,0,0
0.341447,0,0,0,0,0,0
0.344090,0,0,0,0,0,0
