time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
0.000000,0,0,0,0
0.001753,0,0,0,0
0.003493,0,0,0,0
0.005224,0,0,0,0
0.007042,0,0,0,0
0.008792,0,0,0,0
0.010529,0,0,0,0
0.012260,0,0,0,0
0.014001,0,0,0,0
0.015731,0,0,0,0
0.017461,0,0,0,0
0.019204,0,0,0,0
0.020959,0,0,0,0
0.022699,0,0,0,0
0.024425,0,0,0,0
0.026185,0,0,0,0
0.027973,0,0,0,0
0.029708,0,0,0,0
0.031441,0,0,0,0
0.033170,0,0,0,0
0.034912,0,0,0,0
0.036640,0,0,0,0
0.038381,0,0,0,0
0.040126,0,0,0,0
0.041705,0,0,0,0
0.043428,0,0,0,0
0.045156,0,0,0,0
0.046953,0,0,0,0
0.048704,0,0,0,0
0.050446,0,0,0,0
0.052175,0,0,0,0
0.053914,0,0,0,0
0.055642,0,0,0,0
0.057381,0,0,0,0
0.059125,0,0,0,0
0.060874,0,0,0,0
0.062613,0,0,0,0
0.064341,0,0,0,0
0.066096,0,0,0,0
0.067887,0,0,0,0
0.069617,0,0,0,0
0.071361,0,0,0,0
0.073089,0,0,0,0
0.074836,0,0,0,0
0.076565,0,0,0,0
0.078303,0,0,0,0
0.080041,0,0,0,0
0.081778,0,0,0,0
0.083506,0,0,0,0
0.085235,0,0,0,0
0.087014,0,0,0,0
0.088758,0,0,0,0
0.090496,0,0,0,0
0.092229,0,0,0,0
0.093968,0,0,0,0
0.095697,0,0,0,0
0.097429,0,0,0,0
0.099171,0,0,0,0
0.100916,0,0,0,0
0.102656,0,0,0,0
0.104396,0,0,0,0
0.106146,0,0,0,0
0.107920,0,0,0,0
0.109651,0,0,0,0
0.111381,0,0,0,0
0.113113,0,0,0,0
0.114858,0,0,0,0
0.116586,0,0,0,0
0.118324,0,0,0,0
0.120061,0,0,0,0
0.121800,0,0,0,0
0.123528,0,0,0,0
0.125256,0,0,0,0
0.127029,0,0,0,0
0.128792,0,0,0,0
0.130530,0,0,0,0
0.132260,0,0,0,0
0.133998,0,0,0,0
0.135726,0,0,0,0
0.137453,0,0,0,0
0.139193,0,0,0,0
0.140939,0,0,0,0
0.142677,0,0,0,0
0.144404,0,0,0,0
0.146149,0,0,0,0
0.147931,0,0,0,0
0.149662,0,0,0,0
0.151392,0,0,0,0
0.153120,0,0,0,0
0.154861,0,0,0,0
0.156590,0,0,0,0
0.158327,0,0,0,0
0.160060,0,0,0,0
0.161801,0,0,0,0
0.163529,0,0,0,0
0.165256,0,0,0,0
0.167032,0,0,0,0
0.168791,0,0,0,0
0.170530,0,0,0,0
0.172260,0,0,0,0
0.173999,0,0,0,0
0.175727,0,0,0,0
0.177458,0,0,0,0
0.179198,0,0,0,0
0.180947,0,0,0,0
0.182685,0,0,0,0
0.184412,0,0,0,0
0.186149,0,0,0,0
0.187946,0,0,0,0
0.189685,0,0,0,0
0.191414,0,0,0,0
0.193141,0,0,0,0
0.194884,0,0,0,0
0.196611,0,0,0,0
0.198358,0,0,0,0
0.200086,0,0,0,0
0.201833,0,0,0,0
0.203561,0,0,0,0
0.205697,0,0,0,0
0.207481,0,0,0,0
0.209227,0,0,0,0
0.210970,0,0,0,0
0.212697,0,0,0,0
0.214435,0,0,0,0
0.216162,0,0,0,0
0.217899,0,0,0,0
0.219626,0,0,0,0
0.221376,0,0,0,0
0.223120,0,0,0,0
0.224856,0,0,0,0
0.226609,0,0,0,0
0.228381,0,0,0,0
0.230120,0,0,0,0
0.231849,0,0,0,0
0.233579,0,0,0,0
0.235321,0,0,0,0
0.237048,0,0,0,0
0.238786,0,0,0,0
0.240520,0,0,0,0
0.242264,0,0,0,0
0.243992,0,0,0,0
0.245720,0,0,0,0
0.247478,0,0,0,0
0.249231,0,0,0,0
0.250976,0,0,0,0
0.252704,0,0,0,0
0.254442,0,0,0,0
0.256170,0,0,0,0
0.257906,0,0,0,0
0.259635,0,0,0,0
0.261380,0,0,0,0
0.263124,0,0,0,0
0.264852,0,0,0,0
0.266594,0,0,0,0
0.268374,0,0,0,0
0.270117,0,0,0,0
0.271847,0,0,0,0
0.273574,0,0,0,0
0.275315,0,0,0,0
0.277042,0,0,0,0
0.278780,0,0,0,0
0.280513,0,0,0,0
0.282265,0,0,0,0
0.283993,0,0,0,0
0.285720,0,0,0,0
0.287488,0,0,0,0
0.289250,0,0,0,0
0.290995,0,0,0,0
