time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU1_L0,GPU1_L1,GPU1_L2,GPU1_L3,GPU2_L0,GPU2_L1,GPU2_L2,GPU2_L3,GPU2_L4,GPU3_L0,GPU3_L1,GPU3_L2,GPU3_L3,GPU3_L4
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.051792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.059092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.062707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.073533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.077137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.084370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.091579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.098763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
