time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.009,636,110,526,108,2,0,0,0,0,0,0,524,2,0,0,0,0,0,0
2.017,2098,275,1823,270,5,0,0,0,0,0,0,1818,5,0,0,0,0,0,0
3.025,4862,440,4422,432,8,0,0,0,0,0,0,4412,10,0,0,0,0,0,0
4.033,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
5.041,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
6.050,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
7.058,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
8.066,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
9.074,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
10.082,6987,677,6310,666,11,0,0,0,0,0,0,6296,14,0,0,0,0,0,0
11.090,129003,95545,33458,95487,58,0,0,0,0,0,0,33409,49,0,0,0,0,0,0
12.099,221410,99391,122019,99301,90,0,0,0,0,0,0,121929,90,0,0,0,0,0,0
13.107,42841336,141082,42700254,140778,304,0,0,0,0,0,0,42695320,4934,0,0,0,0,0,0
14.115,85443375,42655168,42788207,42650104,5064,0,0,0,0,0,0,42783053,5154,0,0,0,0,0,0
15.123,85443375,42655168,42788207,42650104,5064,0,0,0,0,0,0,42783053,5154,0,0,0,0,0,0
16.131,85443375,42655168,42788207,42650104,5064,0,0,0,0,0,0,42783053,5154,0,0,0,0,0,0
17.139,85443375,42655168,42788207,42650104,5064,0,0,0,0,0,0,42783053,5154,0,0,0,0,0,0
18.147,85443375,42655168,42788207,42650104,5064,0,0,0,0,0,0,42783053,5154,0,0,0,0,0,0
19.156,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
20.164,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
21.172,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
22.181,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
23.189,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
24.197,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
25.205,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
26.213,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
27.221,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
28.230,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
29.238,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
30.246,85445452,42655314,42790138,42650248,5066,0,0,0,0,0,0,42784979,5159,0,0,0,0,0,0
31.254,85445538,42655357,42790181,42650290,5067,0,0,0,0,0,0,42785021,5160,0,0,0,0,0,0
