time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.196,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
30.202,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
31.209,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
32.216,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
33.223,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
34.230,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
35.236,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
36.243,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
37.250,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
38.257,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
39.264,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
40.271,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
41.278,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
42.285,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
